unit_id,method,label,area_m2,height_max_m,height_mean_m,canopy_cover,volume_m3,n_pixels,data_coverage,vari_mean,exg_mean,gli_mean,height_max_m_pct,height_mean_m_pct,volume_m3_pct,canopy_cover_pct,vari_mean_pct,exg_mean_pct,gli_mean_pct
c00160,watershed,160,4.354374999837892,1.6930725574493408,1.1075304761106755,0.9942759015455066,4.837139354426314,1747,1.0,0.24399020528852594,0.3091488061837613,0.2109487820998224,52.46913580246913,37.34567901234568,63.888888888888886,34.25925925925926,25.308641975308642,33.0246913580247,34.5679012345679
c00161,watershed,161,2.4543749998553537,1.7979557514190674,1.2508197116205548,0.9756592292089249,3.0832705891529146,986,1.0,0.3689790277896658,0.4450852896886807,0.2954218564165858,62.96296296296296,69.44444444444444,41.66666666666667,4.938271604938271,95.98765432098766,90.4320987654321,90.74074074074075
c00162,watershed,162,6.478124999772989,1.6844969987869263,1.0802906190256307,0.9927119294207902,7.04079410951838,2607,1.0,0.2797640235334735,0.32776288376580376,0.22287733251896893,51.85185185185185,30.864197530864196,75.61728395061729,30.555555555555557,51.85185185185185,47.22222222222222,46.913580246913575
c00163,watershed,163,4.401250000008149,1.670262098312378,1.184790069507277,0.9988700564971752,5.242696057583724,1770,1.0,0.22149005036751476,0.2749962701426604,0.18935746273544987,49.074074074074076,54.01234567901234,67.90123456790124,59.25925925925925,13.88888888888889,15.74074074074074,16.358024691358025
c00164,watershed,164,2.0562499999883586,1.6387345790863037,1.2547160028114879,0.9903498190591074,2.600398915833764,829,1.0,0.27987263748135804,0.2978254539274412,0.20504960862340277,45.98765432098765,70.37037037037037,32.407407407407405,25.0,52.160493827160494,27.77777777777778,28.703703703703702
c00165,watershed,165,4.204999999935097,1.6243268251419067,1.0844051877884937,1.0,4.6195660999913395,1704,1.0,0.2086305000121738,0.2652218553517654,0.18339561083849876,44.135802469135804,31.48148148148148,60.802469135802475,83.48765432098766,10.493827160493826,12.962962962962962,13.580246913580247
c00166,watershed,166,4.512500000030559,1.6545722484588623,1.100388318399368,1.0,4.962751315994424,1804,1.0,0.21853780577306672,0.3388042681215392,0.22892904079955173,47.53086419753087,35.18518518518518,65.74074074074075,83.48765432098766,12.345679012345679,54.32098765432099,52.46913580246913
c00167,watershed,167,2.4443749998541904,1.6589051485061646,1.1958161010251218,0.9949341438703141,2.9506762292873807,987,1.0,0.30625416329635485,0.40248209035318855,0.2699829570315457,48.45679012345679,57.098765432098766,38.58024691358025,37.03703703703704,70.06172839506173,76.85185185185185,76.5432098765432
c00168,watershed,168,2.6306250001036093,1.6690559387207031,1.2727492429298473,0.9754716981132076,3.3727854937731165,1060,1.0,0.2901730158362799,0.3724800557963134,0.2523722769749121,48.76543209876543,74.38271604938271,45.67901234567901,4.62962962962963,58.0246913580247,67.90123456790124,68.51851851851852
c00169,watershed,169,1.838749999878637,1.6315251588821411,1.268100342332825,0.9944979367262724,2.3047723721960742,727,1.0,0.32381668906192623,0.47085067203379727,0.30850407192915397,44.75308641975309,72.8395061728395,28.08641975308642,36.11111111111111,78.70370370370371,93.82716049382715,94.44444444444444
c00170,watershed,170,5.501874999994761,1.6453747749328613,1.214253559038693,0.9773448119619392,6.699644012013908,2207,1.0,0.28739214580011285,0.3835044388307205,0.2538834196096376,46.913580246913575,61.111111111111114,73.14814814814815,6.172839506172839,55.8641975308642,70.98765432098766,68.82716049382715
c00171,watershed,171,8.693125000199652,1.6160236597061157,1.1143914495747784,0.9997118155619596,9.667345825087061,3470,1.0,0.21580296295731194,0.23967835017994935,0.16593475564604457,42.901234567901234,38.58024691358025,86.41975308641975,66.0493827160494,11.728395061728394,8.024691358024691,8.333333333333332
